Test
Player: {
Test, name
100, max health points
10, absolute damage of player
1, level
1, x-cord
1, y-cord
0, experience
1000, next level experience
}
Player equipment IDs: {
}
Inventory IDs: {}
Mobs: {
{
Goblin, name
1, level
1, x-cord
3, y-cord
}
{
Goblin, name
1, level
1, x-cord
10, y-cord
}
{
Goblin, name
1, level
1, x-cord
20, y-cord
}
{
Goblin, name
1, level
1, x-cord
22, y-cord
}
{
Goblin, name
1, level
1, x-cord
25, y-cord
}
{
Goblin, name
1, level
1, x-cord
26, y-cord
}
{
Goblin, name
1, level
1, x-cord
53, y-cord
}
{
Goblin, name
1, level
1, x-cord
60, y-cord
}
{
Goblin, name
1, level
1, x-cord
66, y-cord
}
{
Goblin, name
1, level
1, x-cord
88, y-cord
}
{
Goblin, name
1, level
1, x-cord
89, y-cord
}
{
Goblin, name
1, level
1, x-cord
95, y-cord
}
{
Goblin, name
1, level
1, x-cord
99, y-cord
}
{
Goblin, name
1, level
2, x-cord
10, y-cord
}
{
Goblin, name
1, level
2, x-cord
22, y-cord
}
{
Goblin, name
1, level
2, x-cord
29, y-cord
}
{
Goblin, name
1, level
2, x-cord
45, y-cord
}
{
Goblin, name
1, level
2, x-cord
68, y-cord
}
{
Goblin, name
1, level
2, x-cord
86, y-cord
}
{
Goblin, name
1, level
3, x-cord
14, y-cord
}
{
Goblin, name
1, level
3, x-cord
21, y-cord
}
{
Goblin, name
1, level
3, x-cord
26, y-cord
}
{
Goblin, name
1, level
3, x-cord
32, y-cord
}
{
Goblin, name
1, level
3, x-cord
40, y-cord
}
{
Goblin, name
1, level
3, x-cord
42, y-cord
}
{
Goblin, name
1, level
3, x-cord
45, y-cord
}
{
Goblin, name
1, level
3, x-cord
62, y-cord
}
{
Goblin, name
1, level
4, x-cord
6, y-cord
}
{
Goblin, name
1, level
4, x-cord
20, y-cord
}
{
Goblin, name
1, level
4, x-cord
22, y-cord
}
{
Goblin, name
1, level
4, x-cord
23, y-cord
}
{
Goblin, name
1, level
4, x-cord
29, y-cord
}
{
Goblin, name
1, level
4, x-cord
32, y-cord
}
{
Goblin, name
1, level
4, x-cord
38, y-cord
}
{
Goblin, name
1, level
4, x-cord
64, y-cord
}
{
Goblin, name
1, level
4, x-cord
67, y-cord
}
{
Goblin, name
1, level
4, x-cord
78, y-cord
}
{
Goblin, name
1, level
5, x-cord
1, y-cord
}
{
Goblin, name
1, level
5, x-cord
6, y-cord
}
{
Goblin, name
1, level
5, x-cord
12, y-cord
}
{
Goblin, name
1, level
5, x-cord
22, y-cord
}
{
Goblin, name
1, level
5, x-cord
27, y-cord
}
{
Goblin, name
1, level
5, x-cord
31, y-cord
}
{
Goblin, name
1, level
5, x-cord
43, y-cord
}
{
Goblin, name
1, level
5, x-cord
56, y-cord
}
{
Goblin, name
1, level
5, x-cord
66, y-cord
}
{
Goblin, name
1, level
5, x-cord
83, y-cord
}
{
Goblin, name
1, level
5, x-cord
91, y-cord
}
{
Goblin, name
1, level
5, x-cord
96, y-cord
}
{
Goblin, name
1, level
6, x-cord
13, y-cord
}
{
Goblin, name
1, level
6, x-cord
22, y-cord
}
{
Goblin, name
1, level
6, x-cord
26, y-cord
}
{
Goblin, name
1, level
6, x-cord
30, y-cord
}
{
Goblin, name
1, level
6, x-cord
63, y-cord
}
{
Goblin, name
1, level
6, x-cord
64, y-cord
}
{
Goblin, name
1, level
6, x-cord
68, y-cord
}
{
Goblin, name
1, level
6, x-cord
73, y-cord
}
{
Goblin, name
1, level
6, x-cord
76, y-cord
}
{
Goblin, name
1, level
6, x-cord
81, y-cord
}
{
Goblin, name
1, level
6, x-cord
83, y-cord
}
{
Goblin, name
1, level
6, x-cord
97, y-cord
}
{
Goblin, name
1, level
7, x-cord
3, y-cord
}
{
Goblin, name
1, level
7, x-cord
7, y-cord
}
{
Goblin, name
1, level
7, x-cord
10, y-cord
}
{
Goblin, name
1, level
7, x-cord
18, y-cord
}
{
Goblin, name
1, level
7, x-cord
47, y-cord
}
{
Goblin, name
1, level
7, x-cord
66, y-cord
}
{
Goblin, name
1, level
7, x-cord
67, y-cord
}
{
Goblin, name
1, level
7, x-cord
68, y-cord
}
{
Goblin, name
1, level
7, x-cord
76, y-cord
}
{
Goblin, name
1, level
7, x-cord
85, y-cord
}
{
Goblin, name
1, level
7, x-cord
96, y-cord
}
{
Goblin, name
1, level
8, x-cord
4, y-cord
}
{
Goblin, name
1, level
8, x-cord
7, y-cord
}
{
Goblin, name
1, level
8, x-cord
18, y-cord
}
{
Goblin, name
1, level
8, x-cord
35, y-cord
}
{
Goblin, name
1, level
8, x-cord
37, y-cord
}
{
Goblin, name
1, level
8, x-cord
38, y-cord
}
{
Goblin, name
1, level
8, x-cord
42, y-cord
}
{
Goblin, name
1, level
8, x-cord
45, y-cord
}
{
Goblin, name
1, level
8, x-cord
49, y-cord
}
{
Goblin, name
1, level
8, x-cord
66, y-cord
}
{
Goblin, name
1, level
8, x-cord
68, y-cord
}
{
Goblin, name
1, level
8, x-cord
71, y-cord
}
{
Goblin, name
1, level
8, x-cord
72, y-cord
}
{
Goblin, name
1, level
8, x-cord
75, y-cord
}
{
Goblin, name
1, level
8, x-cord
76, y-cord
}
{
Goblin, name
1, level
8, x-cord
78, y-cord
}
{
Goblin, name
1, level
9, x-cord
3, y-cord
}
{
Goblin, name
1, level
9, x-cord
7, y-cord
}
{
Goblin, name
1, level
9, x-cord
8, y-cord
}
{
Goblin, name
1, level
9, x-cord
9, y-cord
}
{
Goblin, name
1, level
9, x-cord
18, y-cord
}
{
Goblin, name
1, level
9, x-cord
46, y-cord
}
{
Goblin, name
1, level
9, x-cord
49, y-cord
}
{
Goblin, name
1, level
9, x-cord
84, y-cord
}
{
Goblin, name
1, level
9, x-cord
94, y-cord
}
{
Goblin, name
1, level
10, x-cord
5, y-cord
}
{
Goblin, name
1, level
10, x-cord
7, y-cord
}
{
Goblin, name
1, level
10, x-cord
10, y-cord
}
{
Goblin, name
1, level
10, x-cord
12, y-cord
}
{
Goblin, name
1, level
10, x-cord
17, y-cord
}
{
Goblin, name
1, level
10, x-cord
34, y-cord
}
{
Goblin, name
1, level
10, x-cord
48, y-cord
}
{
Goblin, name
1, level
10, x-cord
65, y-cord
}
{
Goblin, name
1, level
10, x-cord
66, y-cord
}
{
Goblin, name
1, level
10, x-cord
68, y-cord
}
{
Goblin, name
1, level
10, x-cord
72, y-cord
}
{
Goblin, name
1, level
10, x-cord
77, y-cord
}
{
Goblin, name
1, level
10, x-cord
93, y-cord
}
{
Goblin, name
1, level
10, x-cord
94, y-cord
}
{
Goblin, name
1, level
10, x-cord
96, y-cord
}
{
Goblin, name
1, level
10, x-cord
97, y-cord
}
{
Goblin, name
1, level
11, x-cord
2, y-cord
}
{
Goblin, name
1, level
11, x-cord
5, y-cord
}
{
Goblin, name
1, level
11, x-cord
16, y-cord
}
{
Goblin, name
1, level
11, x-cord
29, y-cord
}
{
Goblin, name
1, level
11, x-cord
38, y-cord
}
{
Goblin, name
1, level
11, x-cord
50, y-cord
}
{
Goblin, name
1, level
11, x-cord
97, y-cord
}
{
Goblin, name
1, level
12, x-cord
4, y-cord
}
{
Goblin, name
1, level
12, x-cord
24, y-cord
}
{
Goblin, name
1, level
12, x-cord
28, y-cord
}
{
Goblin, name
1, level
12, x-cord
82, y-cord
}
{
Goblin, name
1, level
12, x-cord
95, y-cord
}
{
Goblin, name
1, level
13, x-cord
4, y-cord
}
{
Goblin, name
1, level
13, x-cord
6, y-cord
}
{
Goblin, name
1, level
13, x-cord
7, y-cord
}
{
Goblin, name
1, level
13, x-cord
18, y-cord
}
{
Goblin, name
1, level
13, x-cord
24, y-cord
}
{
Goblin, name
1, level
13, x-cord
28, y-cord
}
{
Goblin, name
1, level
13, x-cord
34, y-cord
}
{
Goblin, name
1, level
13, x-cord
36, y-cord
}
{
Goblin, name
1, level
13, x-cord
37, y-cord
}
{
Goblin, name
1, level
13, x-cord
49, y-cord
}
{
Goblin, name
1, level
13, x-cord
56, y-cord
}
{
Goblin, name
1, level
13, x-cord
57, y-cord
}
{
Goblin, name
1, level
13, x-cord
72, y-cord
}
{
Goblin, name
1, level
13, x-cord
82, y-cord
}
{
Goblin, name
1, level
13, x-cord
90, y-cord
}
{
Goblin, name
1, level
13, x-cord
91, y-cord
}
{
Goblin, name
1, level
13, x-cord
94, y-cord
}
{
Goblin, name
1, level
13, x-cord
95, y-cord
}
{
Goblin, name
1, level
13, x-cord
96, y-cord
}
{
Goblin, name
1, level
13, x-cord
98, y-cord
}
{
Goblin, name
1, level
14, x-cord
5, y-cord
}
{
Goblin, name
1, level
14, x-cord
6, y-cord
}
{
Goblin, name
1, level
14, x-cord
8, y-cord
}
{
Goblin, name
1, level
14, x-cord
14, y-cord
}
{
Goblin, name
1, level
14, x-cord
16, y-cord
}
{
Goblin, name
1, level
14, x-cord
18, y-cord
}
{
Goblin, name
1, level
14, x-cord
19, y-cord
}
{
Goblin, name
1, level
14, x-cord
23, y-cord
}
{
Goblin, name
1, level
14, x-cord
37, y-cord
}
{
Goblin, name
1, level
14, x-cord
73, y-cord
}
{
Goblin, name
1, level
14, x-cord
93, y-cord
}
{
Goblin, name
1, level
15, x-cord
6, y-cord
}
{
Goblin, name
1, level
15, x-cord
9, y-cord
}
{
Goblin, name
1, level
15, x-cord
16, y-cord
}
{
Goblin, name
1, level
15, x-cord
19, y-cord
}
{
Goblin, name
1, level
15, x-cord
48, y-cord
}
{
Goblin, name
1, level
15, x-cord
67, y-cord
}
{
Goblin, name
1, level
15, x-cord
68, y-cord
}
{
Goblin, name
1, level
15, x-cord
70, y-cord
}
{
Goblin, name
1, level
15, x-cord
81, y-cord
}
{
Goblin, name
1, level
15, x-cord
92, y-cord
}
{
Goblin, name
1, level
15, x-cord
94, y-cord
}
{
Goblin, name
1, level
16, x-cord
5, y-cord
}
{
Goblin, name
1, level
16, x-cord
6, y-cord
}
{
Goblin, name
1, level
16, x-cord
7, y-cord
}
{
Goblin, name
1, level
16, x-cord
15, y-cord
}
{
Goblin, name
1, level
16, x-cord
24, y-cord
}
{
Goblin, name
1, level
16, x-cord
66, y-cord
}
{
Goblin, name
1, level
16, x-cord
68, y-cord
}
{
Goblin, name
1, level
16, x-cord
82, y-cord
}
{
Goblin, name
1, level
16, x-cord
83, y-cord
}
{
Goblin, name
1, level
17, x-cord
11, y-cord
}
{
Goblin, name
1, level
17, x-cord
21, y-cord
}
{
Goblin, name
1, level
17, x-cord
